epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.435,1.9146,2.73732,2.13486,0.03457,0.14155,0.02365,0.00644,2.88759,66.8107,3.80629,0.0702344,0.00330729,0.00330729
2,64.5784,1.90302,2.55873,2.14718,0.10681,0.20366,0.10195,0.03717,2.46427,20.9836,3.10713,0.0401029,0.00650914,0.00650914
3,95.6492,1.85221,2.3995,2.11557,0.12094,0.15068,0.05541,0.01792,2.76399,12.3243,2.80408,0.00983941,0.00957899,0.00957899
4,126.605,1.78853,2.25923,2.05772,0.38636,0.37443,0.25825,0.09614,2.32721,2.95635,2.44275,0.009406,0.009406,0.009406
5,160.332,1.75704,2.1396,1.97849,0.3005,0.38813,0.30989,0.13698,2.07827,2.72564,2.22946,0.009208,0.009208,0.009208
6,192.57,1.69513,2.0326,1.93328,0.55789,0.47489,0.46215,0.19169,1.96348,1.82039,2.0266,0.00901,0.00901,0.00901
7,225.886,1.63242,1.92572,1.88121,0.43291,0.4183,0.40816,0.12499,2.13038,2.40405,2.26019,0.008812,0.008812,0.008812
8,257.38,1.63287,1.91722,1.88087,0.51244,0.60274,0.53189,0.20447,2.02335,1.6519,2.06367,0.008614,0.008614,0.008614
9,287.953,1.61172,1.82376,1.87202,0.45034,0.43836,0.3978,0.1876,1.96962,2.22457,2.06846,0.008416,0.008416,0.008416
10,320.59,1.56976,1.78799,1.80296,0.63888,0.57534,0.59082,0.22168,2.02167,1.67887,2.06021,0.008218,0.008218,0.008218
11,354.635,1.54658,1.78071,1.79448,0.43791,0.48858,0.39436,0.21964,1.78144,1.87474,1.87518,0.00802,0.00802,0.00802
12,385.686,1.48731,1.67939,1.74936,0.58464,0.65753,0.56843,0.26512,1.9157,1.53175,2.00524,0.007822,0.007822,0.007822
13,420.708,1.46214,1.63913,1.73676,0.59995,0.57523,0.5371,0.29729,1.68384,1.71585,1.83014,0.007624,0.007624,0.007624
14,452.066,1.46282,1.58091,1.70782,0.66345,0.59361,0.63028,0.28552,1.95409,1.46973,2.02831,0.007426,0.007426,0.007426
15,483.617,1.44344,1.59201,1.71141,0.51719,0.61187,0.49446,0.28112,1.75653,1.90834,1.85966,0.007228,0.007228,0.007228
16,515.955,1.41994,1.55831,1.66896,0.62503,0.621,0.60092,0.33021,1.57965,1.6268,1.75001,0.00703,0.00703,0.00703
17,546.247,1.41365,1.53408,1.67155,0.67056,0.61187,0.62077,0.27949,2.08104,1.68911,2.13465,0.006832,0.006832,0.006832
18,576.268,1.39281,1.46368,1.65218,0.66918,0.6758,0.6685,0.32436,1.82602,1.33794,1.89137,0.006634,0.006634,0.006634
19,606.052,1.35572,1.43537,1.62568,0.5996,0.6758,0.55866,0.30847,1.61732,1.58315,1.749,0.006436,0.006436,0.006436
20,636.014,1.38943,1.47751,1.64497,0.62319,0.7032,0.67998,0.31249,1.84545,1.40668,1.88733,0.006238,0.006238,0.006238
21,665.866,1.35359,1.41949,1.61676,0.60406,0.75342,0.70915,0.39287,1.65588,1.333,1.72636,0.00604,0.00604,0.00604
22,695.936,1.32684,1.43535,1.60799,0.56935,0.63014,0.59121,0.31183,1.61627,1.65754,1.73405,0.005842,0.005842,0.005842
23,725.97,1.32952,1.39397,1.61408,0.62329,0.6347,0.61124,0.35471,1.65972,1.42323,1.77156,0.005644,0.005644,0.005644
24,756.518,1.33001,1.42204,1.60879,0.62908,0.6347,0.66526,0.3599,1.60987,1.4512,1.72774,0.005446,0.005446,0.005446
25,788.188,1.29858,1.3621,1.5743,0.72008,0.75176,0.73966,0.41204,1.54502,1.15374,1.64463,0.005248,0.005248,0.005248
26,821.832,1.28963,1.34434,1.57587,0.63229,0.69406,0.6515,0.36204,1.45577,1.40684,1.61182,0.00505,0.00505,0.00505
27,855.233,1.28257,1.29071,1.57163,0.75465,0.6882,0.75024,0.44897,1.4352,1.14642,1.61849,0.004852,0.004852,0.004852
28,889.286,1.29637,1.34204,1.56132,0.67427,0.76712,0.74478,0.38967,1.64464,1.1764,1.70419,0.004654,0.004654,0.004654
29,923.251,1.2438,1.28034,1.53679,0.72331,0.74008,0.73289,0.37548,1.47195,1.15172,1.60602,0.004456,0.004456,0.004456
30,956.591,1.24591,1.2925,1.53452,0.59814,0.81279,0.69797,0.41254,1.47158,1.16962,1.55806,0.004258,0.004258,0.004258
31,990.324,1.23135,1.23217,1.51095,0.7447,0.78082,0.77098,0.38974,1.67135,1.13141,1.66826,0.00406,0.00406,0.00406
32,1022.42,1.20476,1.22091,1.50001,0.70102,0.81369,0.74159,0.42337,1.47945,1.12646,1.6366,0.003862,0.003862,0.003862
33,1051.83,1.23005,1.23706,1.51412,0.69433,0.80904,0.74728,0.40615,1.6554,1.06223,1.68205,0.003664,0.003664,0.003664
