epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.4069,1.42121,1.61968,1.2945,0.7037,0.69728,0.71787,0.4054,1.40579,1.24742,1.30836,0.000554883,0.000554883,0.000554883
2,185.826,1.40598,1.19203,1.27804,0.77286,0.76816,0.79523,0.46555,1.39135,1.08168,1.28446,0.0010739,0.0010739,0.0010739
3,270.407,1.40121,1.09726,1.27419,0.79012,0.76701,0.81277,0.48606,1.36211,0.96593,1.26264,0.00155625,0.00155625,0.00155625
4,354.689,1.37677,1.03318,1.25591,0.80755,0.7784,0.81769,0.48754,1.35937,0.96669,1.28094,0.00150197,0.00150197,0.00150197
5,438.425,1.35255,0.97204,1.24813,0.81795,0.7893,0.83655,0.51661,1.32706,0.859,1.24498,0.00144696,0.00144696,0.00144696
6,523.338,1.33125,0.95136,1.23051,0.79886,0.79839,0.83469,0.52373,1.31725,0.84937,1.24282,0.00139195,0.00139195,0.00139195
7,600.327,1.30706,0.92722,1.21648,0.82195,0.81911,0.85255,0.53194,1.29042,0.8275,1.23972,0.00133693,0.00133693,0.00133693
8,678.112,1.29209,0.88623,1.2084,0.80866,0.82955,0.85265,0.54427,1.25407,0.79779,1.20884,0.00128192,0.00128192,0.00128192
9,756.1,1.27725,0.8639,1.2061,0.83023,0.82302,0.85999,0.5548,1.2756,0.78667,1.21338,0.00122691,0.00122691,0.00122691
10,838.369,1.26131,0.84388,1.19375,0.80331,0.80392,0.85905,0.53535,1.30754,0.80612,1.24887,0.0011719,0.0011719,0.0011719
11,923.38,1.24049,0.81905,1.18053,0.82305,0.81513,0.85667,0.54533,1.28829,0.77366,1.22615,0.00111689,0.00111689,0.00111689
12,1006.35,1.23462,0.79908,1.17248,0.83168,0.82553,0.85778,0.55991,1.24254,0.74204,1.18738,0.00106188,0.00106188,0.00106188
13,1085.54,1.22772,0.78689,1.17012,0.84347,0.83469,0.8713,0.5618,1.24969,0.72653,1.19659,0.00100687,0.00100687,0.00100687
14,1166.83,1.22131,0.77152,1.16703,0.85321,0.83353,0.87414,0.57549,1.22148,0.70867,1.18357,0.000951857,0.000951857,0.000951857
15,1248.5,1.21198,0.76748,1.16432,0.85966,0.83562,0.87147,0.57108,1.24177,0.70457,1.19304,0.000896846,0.000896846,0.000896846
16,1326.71,1.19332,0.74299,1.15164,0.83776,0.84391,0.87553,0.56858,1.23975,0.71488,1.18932,0.000841835,0.000841835,0.000841835
17,1405.5,1.19236,0.74213,1.14485,0.84468,0.85316,0.8761,0.56972,1.22746,0.69573,1.18687,0.000786824,0.000786824,0.000786824
18,1496.46,1.17602,0.72605,1.14309,0.83979,0.85825,0.88432,0.58287,1.22413,0.683,1.18341,0.000731813,0.000731813,0.000731813
19,1580.18,1.17778,0.719,1.14174,0.85015,0.84619,0.87306,0.56918,1.22768,0.68555,1.18642,0.000676802,0.000676802,0.000676802
20,1659.28,1.15778,0.69927,1.13098,0.856,0.83849,0.88321,0.57744,1.23379,0.67722,1.18593,0.000621791,0.000621791,0.000621791
21,1771.65,1.13611,0.64801,1.12105,0.85367,0.85396,0.88821,0.58447,1.21822,0.66607,1.18931,0.00056678,0.00056678,0.00056678
22,1849.58,1.11857,0.62772,1.11127,0.8479,0.84786,0.88581,0.58388,1.218,0.66431,1.17982,0.000511769,0.000511769,0.000511769
23,1925.48,1.10395,0.60973,1.10319,0.86349,0.85718,0.89116,0.58557,1.21541,0.64554,1.18241,0.000456758,0.000456758,0.000456758
24,2001.67,1.08888,0.58988,1.09632,0.86781,0.86811,0.89532,0.59141,1.21607,0.63981,1.17925,0.000401747,0.000401747,0.000401747
25,2078.47,1.07908,0.57924,1.08958,0.87203,0.84445,0.89097,0.58851,1.21238,0.64987,1.18061,0.000346736,0.000346736,0.000346736
26,2154.39,1.0636,0.56193,1.08073,0.86714,0.88244,0.90033,0.59921,1.20488,0.62179,1.17953,0.000291725,0.000291725,0.000291725
27,2240.1,1.05831,0.55468,1.07704,0.86771,0.8509,0.89412,0.59137,1.21135,0.64147,1.18826,0.000236714,0.000236714,0.000236714
28,2325,1.03874,0.53727,1.07115,0.87049,0.86783,0.89686,0.59571,1.21078,0.62555,1.18912,0.000181703,0.000181703,0.000181703
29,2409.39,1.03279,0.52658,1.06103,0.87078,0.8546,0.88945,0.58789,1.21409,0.6278,1.18628,0.000126692,0.000126692,0.000126692
30,2494.06,1.02398,0.51909,1.06031,0.87841,0.85543,0.89421,0.59477,1.19872,0.61142,1.17867,7.1681e-05,7.1681e-05,7.1681e-05
