epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.689,1.42121,1.61968,1.2945,0.7037,0.69728,0.71787,0.4054,1.40579,1.24742,1.30836,0.000554883,0.000554883,0.000554883
2,213.915,1.40524,1.19981,1.27703,0.79476,0.75257,0.80412,0.48435,1.36439,1.04729,1.28485,0.00108856,0.00108856,0.00108856
3,305.218,1.40266,1.10263,1.27287,0.79996,0.77948,0.82281,0.48741,1.36167,1.0026,1.27888,0.00160023,0.00160023,0.00160023
4,402.572,1.37919,1.04401,1.26249,0.81271,0.78521,0.8255,0.49467,1.33627,0.92411,1.26372,0.00156798,0.00156798,0.00156798
5,508.815,1.35558,0.98179,1.25485,0.79829,0.80412,0.83237,0.52238,1.28855,0.86146,1.22694,0.00153497,0.00153497,0.00153497
6,612.7,1.33915,0.96205,1.23722,0.78794,0.80001,0.83798,0.52376,1.32039,0.85259,1.24264,0.00150197,0.00150197,0.00150197
7,706.034,1.31836,0.94047,1.22561,0.81325,0.81107,0.84573,0.5222,1.29267,0.85984,1.23244,0.00146896,0.00146896,0.00146896
8,795.299,1.30414,0.90463,1.21435,0.81287,0.81905,0.85838,0.54129,1.26398,0.78936,1.21842,0.00143595,0.00143595,0.00143595
9,883.544,1.28671,0.87912,1.21355,0.82733,0.81123,0.86447,0.55577,1.27984,0.78991,1.22723,0.00140295,0.00140295,0.00140295
10,972.933,1.27578,0.87127,1.20637,0.83284,0.80018,0.85099,0.53836,1.25025,0.78685,1.22048,0.00136994,0.00136994,0.00136994
11,1061.98,1.25424,0.84412,1.19333,0.82297,0.83403,0.86447,0.55509,1.25733,0.7613,1.20942,0.00133693,0.00133693,0.00133693
12,1149.88,1.25074,0.82052,1.18441,0.816,0.81974,0.8497,0.55488,1.23483,0.76405,1.19385,0.00130393,0.00130393,0.00130393
13,1237.09,1.24802,0.81188,1.18423,0.85016,0.84301,0.87217,0.55586,1.26297,0.74491,1.1994,0.00127092,0.00127092,0.00127092
14,1335.49,1.23753,0.80012,1.18127,0.84369,0.83985,0.87756,0.5729,1.23079,0.72165,1.19469,0.00123791,0.00123791,0.00123791
15,1436.84,1.23399,0.7918,1.17818,0.84499,0.83016,0.87064,0.55988,1.25562,0.72949,1.20345,0.00120491,0.00120491,0.00120491
16,1539.69,1.21489,0.77563,1.16819,0.82515,0.85666,0.86815,0.56467,1.2414,0.7418,1.19491,0.0011719,0.0011719,0.0011719
17,1632.6,1.21897,0.77457,1.16442,0.85773,0.85908,0.88197,0.57665,1.23847,0.71227,1.19478,0.00113889,0.00113889,0.00113889
18,1717.06,1.20581,0.7666,1.15885,0.84561,0.85751,0.86995,0.55967,1.2614,0.72035,1.20016,0.00110589,0.00110589,0.00110589
19,1802.01,1.20533,0.75528,1.16112,0.8451,0.83629,0.86661,0.56024,1.24233,0.71909,1.19804,0.00107288,0.00107288,0.00107288
20,1887.86,1.18998,0.73236,1.14943,0.84973,0.84741,0.88226,0.57126,1.23271,0.69817,1.1873,0.00103987,0.00103987,0.00103987
21,1973.21,1.18195,0.73029,1.14383,0.83262,0.85991,0.88562,0.5757,1.23719,0.68516,1.18467,0.00100687,0.00100687,0.00100687
22,2057.79,1.18334,0.72252,1.14502,0.85226,0.84568,0.87902,0.58234,1.22424,0.68481,1.19469,0.000973861,0.000973861,0.000973861
23,2145.26,1.16724,0.70179,1.13483,0.86145,0.85037,0.88674,0.58416,1.23721,0.67885,1.19369,0.000940855,0.000940855,0.000940855
24,2230.41,1.1661,0.70636,1.13664,0.85398,0.86316,0.88308,0.57622,1.23462,0.67279,1.19187,0.000907848,0.000907848,0.000907848
25,2314.59,1.15873,0.69543,1.13258,0.84886,0.84809,0.88281,0.58446,1.22853,0.6614,1.18987,0.000874842,0.000874842,0.000874842
26,2399.63,1.13979,0.6784,1.11772,0.86104,0.85641,0.88646,0.58383,1.22116,0.67017,1.18412,0.000841835,0.000841835,0.000841835
27,2485.15,1.15195,0.69045,1.12658,0.85388,0.85272,0.88573,0.58572,1.21289,0.67076,1.17748,0.000808828,0.000808828,0.000808828
28,2570.12,1.1382,0.6646,1.1182,0.85465,0.86371,0.88741,0.58726,1.2244,0.67005,1.19078,0.000775822,0.000775822,0.000775822
29,2655.49,1.1317,0.66546,1.11667,0.8651,0.85424,0.88888,0.58684,1.22163,0.65468,1.18138,0.000742815,0.000742815,0.000742815
30,2740.73,1.12164,0.65506,1.11008,0.86279,0.85569,0.88291,0.58772,1.21643,0.64467,1.1803,0.000709809,0.000709809,0.000709809
31,2826.65,1.12151,0.65337,1.10929,0.87134,0.85595,0.88977,0.58894,1.21295,0.63577,1.17964,0.000676802,0.000676802,0.000676802
32,2910.51,1.11439,0.63745,1.10331,0.87047,0.83967,0.88928,0.58419,1.22329,0.64444,1.17169,0.000643795,0.000643795,0.000643795
33,2997.58,1.10574,0.63487,1.10244,0.86747,0.85917,0.89383,0.59563,1.19531,0.63798,1.15902,0.000610789,0.000610789,0.000610789
34,3097.15,1.09783,0.62287,1.09133,0.85619,0.85466,0.88875,0.58725,1.21623,0.64286,1.17576,0.000577782,0.000577782,0.000577782
35,3196.72,1.09301,0.62742,1.09422,0.85434,0.86962,0.89411,0.58688,1.22029,0.63673,1.19194,0.000544776,0.000544776,0.000544776
36,3292.88,1.09078,0.61076,1.0945,0.85114,0.87346,0.88896,0.59098,1.21671,0.63959,1.17967,0.000511769,0.000511769,0.000511769
37,3377.81,1.08427,0.61188,1.08755,0.86446,0.85516,0.88673,0.58692,1.21921,0.62884,1.18744,0.000478762,0.000478762,0.000478762
38,3462.72,1.06655,0.59098,1.08101,0.85732,0.86138,0.88758,0.58594,1.22039,0.62788,1.18227,0.000445756,0.000445756,0.000445756
